客户名称,商机名称,商机阶段,销售负责人,预计金额,线索来源,下次跟进,创建时间
华东连锁集团,门店数字化一期,需求确认,林销售,420000,官网线索,2026-06-10,2026-04-03
北辰制造,供应链协同平台,方案报价,周销售,680000,展会,2026-06-26,2026-04-12
青云零售,会员运营升级,商务谈判,林销售,350000,老客户转介绍,2026-06-18,2026-05-02
星河医药,费用报销系统,已赢单,吴销售,520000,渠道伙伴,2026-06-15,2026-03-18
海川物流,运输调度看板,需求确认,赵销售,280000,官网线索,,2026-05-19
南山教育,招生 CRM 续约,商务谈判,吴销售,310000,老客户转介绍,2026-06-21,2026-05-08
鼎新科技,数据中台 PoC,PoC验证,周销售,880000,展会,2026-06-12,2026-04-28
远航汽车,售后工单集成,方案报价,赵销售,460000,渠道伙伴,2026-06-24,2026-05-11
金石食品,经销商门户,已输单,林销售,260000,官网线索,2026-06-01,2026-03-29
安禾能源,项目管理平台,需求确认,赵销售,750000,行业活动,,2026-06-01
云杉服饰,订单中心二期,已赢单,周销售,390000,老客户转介绍,2026-06-17,2026-04-22
明珠物业,客服系统替换,方案报价,吴销售,240000,官网线索,2026-06-08,2026-05-25
