问卷ID,提交时间,城市,人群,满意度,问题类型,反馈
SUR-001,2026-06-01,上海,企业管理员,5,功能体验,报表导出速度很快，权限配置也清晰。
SUR-002,2026-06-02,广州,门店店长,3,物流体验,物流状态更新慢，客户经常来问进度。
SUR-003,2026-06-03,北京,财务专员,2,发票问题,发票开具流程太复杂，售后回复也慢。
SUR-004,2026-06-04,深圳,运营专员,4,功能体验,活动配置比旧系统简单，但商品筛选还可以优化。
SUR-005,2026-06-05,杭州,客服主管,2,售后服务,退款处理时间长，客服解释口径不一致。
SUR-006,2026-06-06,成都,门店店长,5,培训支持,培训材料清楚，新人上手速度快。
SUR-007,2026-06-07,上海,运营专员,3,价格感知,部分套餐价格偏高，希望有更灵活的组合。
SUR-008,2026-06-08,广州,企业管理员,4,系统稳定,整体体验稳定，偶尔页面加载速度慢。
SUR-009,2026-06-09,北京,财务专员,2,发票问题,发票抬头修改需要多次提交，体验不好。
SUR-010,2026-06-10,深圳,客服主管,3,售后服务,售后工单可以闭环，但处理时效还需提升。
